ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
out175.png,idkwhattoputhere,Friendly,1,1110.1291248206599,510.6983418367347,1497.6183644189382,1030.4942602040817,0,0,0,0,0
out539.png,idkwhattoputhere,Enemy,1,456.3558106169297,285.6983418367347,1031.1621233859396,1080.0,0,1,0,0,0
out907.png,idkwhattoputhere,Enemy,1,818.1348637015782,495.08609693877554,883.3285509325681,642.9432397959184,0,0,0,0,0
out826.png,idkwhattoputhere,Enemy,1,853.0272596843615,480.3922193877551,901.6929698708751,614.4738520408164,0,0,0,0,0
out529.png,idkwhattoputhere,Enemy,1,993.5150645624103,513.4534438775511,1274.490674318508,994.6779336734694,0,0,0,0,0
out614.png,idkwhattoputhere,Friendly,1,792.4246771879483,617.2289540816327,822.7259684361549,671.4126275510204,0,0,0,0,0
out614.png,idkwhattoputhere,Enemy,1,882.4103299856528,502.4330357142857,978.8235294117646,673.249362244898,1,0,0,0,0
out614.png,idkwhattoputhere,Enemy,1,845.6814921090387,566.71875,898.0200860832138,683.3514030612245,0,0,0,0,0
out254.png,idkwhattoputhere,Enemy,1,931.9942611190818,521.71875,943.9311334289814,558.4534438775511,0,0,0,0,0
out168.png,idkwhattoputhere,Enemy,1,838.335724533716,507.0248724489796,986.1692969870876,707.2289540816327,0,0,0,0,0
out168.png,idkwhattoputhere,Enemy,1,1026.571018651363,548.3514030612245,1090.8464849354375,658.5554846938775,0,0,0,0,0
out168.png,idkwhattoputhere,Friendly,1,759.3687230989957,588.7595663265306,816.2984218077474,677.8411989795918,0,0,0,0,0
out877.png,idkwhattoputhere,Enemy,1,921.8938307030129,503.3514030612245,980.6599713055954,650.2901785714287,0,0,0,0,0
out599.png,idkwhattoputhere,Friendly,1,1830.0143472022955,418.86160714285717,1920.0,712.7391581632653,0,1,0,0,0
out599.png,idkwhattoputhere,Enemy,1,1066.054519368723,515.2901785714286,1123.90243902439,624.5758928571429,0,0,0,0,0
out599.png,idkwhattoputhere,Enemy,1,1027.4892395982783,552.0248724489796,1072.4820659971306,641.1065051020408,0,0,0,0,0
out78.png,idkwhattoputhere,Enemy,1,920.0573888091822,420.6983418367347,978.8235294117646,573.1473214285714,0,0,0,0,0
out78.png,idkwhattoputhere,Enemy,1,878.7374461979914,417.0248724489796,940.2582496413199,548.3514030612245,0,0,0,0,0
